
"lakeid","sampledate","depth","chlor"
"AL","1981-07-02",0.00,1.8
"AL","1981-07-02",2.00,2.8
"AL","1981-07-02",4.00,7.8
"AL","1981-07-02",6.00,5.6
"AL","1981-07-02",8.00,22.7
"AL","1981-07-16",0.00,9.3
"AL","1981-07-16",2.00,10.7
"AL","1981-07-16",4.00,163.0
"AL","1981-07-16",6.00,55.3
"AL","1981-07-16",7.50,126.4
"AL","1981-07-28",0.00,9.9
"AL","1981-07-28",2.00,9.8
"AL","1981-07-28",4.00,37.7
"AL","1981-07-28",6.00,195.2
"AL","1981-07-28",7.00,154.8
"AL","1981-08-12",0.00,20.4
"AL","1981-08-12",2.00,17.9
"AL","1981-08-12",4.00,32.7
"AL","1981-08-12",6.00,97.8
"AL","1981-08-12",7.00,227.7
"AL","1981-08-27",0.00,18.8
"AL","1981-08-27",2.00,24.7
"AL","1981-08-27",4.00,24.9
"AL","1981-08-27",6.00,23.0
"AL","1981-08-27",7.50,104.6
"AL","1981-09-12",0.00,21.1
"AL","1981-09-12",2.00,21.7
"AL","1981-09-12",4.00,22.0
"AL","1981-09-12",6.00,8.6
"AL","1981-09-12",7.50,21.9
"AL","1981-09-26",0.00,18.0
"AL","1981-09-26",2.00,18.9
"AL","1981-09-26",4.00,19.7
"AL","1981-09-26",6.00,17.9
"AL","1981-09-26",8.00,17.6
"AL","1981-10-22",0.00,17.5
"AL","1981-10-22",2.00,18.8
"AL","1981-10-22",4.00,20.4
"AL","1981-10-22",6.00,20.2
"AL","1981-10-22",7.00,19.7
"AL","1982-01-26",0.00,4.4
"AL","1982-01-26",2.00,3.7
"AL","1982-01-26",4.00,2.4
"AL","1982-01-26",6.00,3.0
"AL","1982-01-26",7.00,35.2
"AL","1982-02-23",0.00,0.0
"AL","1982-02-23",2.00,0.0
"AL","1982-02-23",4.00,0.0
"AL","1982-02-23",6.00,0.0
"AL","1982-02-23",7.00,0.4
"AL","1982-04-05",0.00,9.3
"AL","1982-04-05",2.00,2.1
"AL","1982-04-05",4.00,0.8
"AL","1982-04-05",6.00,0.4
"AL","1982-04-05",7.00,1.6
"AL","1982-05-11",0.00,23.1
"AL","1982-05-11",2.00,22.3
"AL","1982-05-11",4.00,23.5
"AL","1982-05-11",6.00,13.4
"AL","1982-05-11",7.00,9.8
"AL","1982-05-25",0.00,11.7
"AL","1982-05-25",2.00,13.8
"AL","1982-05-25",4.00,18.1
"AL","1982-05-25",6.00,37.2
"AL","1982-05-25",7.00,8.6
"AL","1982-06-09",0.00,3.9
"AL","1982-06-09",2.00,3.9
"AL","1982-06-09",4.00,6.9
"AL","1982-06-09",6.00,24.5
"AL","1982-06-09",7.00,90.9
"AL","1982-06-25",0.00,6.0
"AL","1982-06-25",2.00,4.2
"AL","1982-06-25",4.00,5.5
"AL","1982-06-25",6.00,4.1
"AL","1982-06-25",7.00,8.5
"AL","1982-07-05",0.00,2.5
"AL","1982-07-05",2.00,3.1
"AL","1982-07-05",4.00,5.8
"AL","1982-07-05",6.00,7.1
"AL","1982-07-05",7.00,63.8
"AL","1982-07-21",0.00,3.8
"AL","1982-07-21",2.00,3.9
"AL","1982-07-21",3.00,6.5
"AL","1982-07-21",4.00,11.7
"AL","1982-07-21",6.00,19.4
"AL","1982-07-21",7.00,42.0
"AL","1982-08-05",0.00,4.6
"AL","1982-08-05",2.00,4.8
"AL","1982-08-05",4.00,26.6
"AL","1982-08-05",6.00,57.5
"AL","1982-08-05",7.00,181.9
"AL","1982-08-16",0.00,5.9
"AL","1982-08-16",2.00,5.2
"AL","1982-08-16",6.00,53.5
"AL","1982-08-16",7.00,0.0
"AL","1982-09-08",0.00,17.6
"AL","1982-09-08",2.00,16.1
"AL","1982-09-08",4.00,13.6
"AL","1982-09-08",6.00,3.9
"AL","1982-09-08",7.00,27.1
"AL","1982-09-21",0.00,14.6
"AL","1982-09-21",2.00,18.8
"AL","1982-09-21",4.00,16.7
"AL","1982-09-21",6.00,19.1
"AL","1982-09-21",7.00,20.2
"AL","1982-10-05",0.00,19.3
"AL","1982-10-05",2.00,22.2
"AL","1982-10-05",4.00,18.4
"AL","1982-10-05",6.00,15.0
"AL","1982-10-05",7.00,11.7
"AL","1982-10-22",0.00,15.9
"AL","1982-10-22",1.00,15.5
"AL","1982-10-22",2.00,19.8
"AL","1982-10-22",3.00,13.1
"AL","1982-10-22",4.00,13.7
"AL","1982-10-22",6.00,23.6
"AL","1982-10-22",7.00,9.5
"AL","1982-11-08",2.00,14.5
"AL","1982-11-08",4.00,12.4
"AL","1982-11-08",6.00,10.4
"AL","1982-11-08",7.00,12.9
"AL","1982-11-30",0.00,6.4
"AL","1982-11-30",2.00,6.5
"AL","1982-11-30",4.00,6.3
"AL","1982-11-30",6.00,4.8
"AL","1983-01-17",0.00,6.0
"AL","1983-01-17",2.00,0.3
"AL","1983-01-17",4.00,0.8
"AL","1983-01-17",6.00,2.1
"AL","1983-01-17",6.50,2.1
"AL","1983-02-18",0.00,0.4
"AL","1983-02-18",1.00,0.9
"AL","1983-02-18",2.00,0.4
"AL","1983-02-18",3.00,0.9
"AL","1983-02-18",4.00,0.3
"AL","1983-02-18",5.00,0.1
"AL","1983-02-18",6.00,0.7
"AL","1983-02-18",7.00,0.7
"AL","1983-03-23",0.00,13.7
"AL","1983-03-23",1.00,1.4
"AL","1983-03-23",2.00,1.6
"AL","1983-03-23",3.00,0.8
"AL","1983-03-23",4.00,0.7
"AL","1983-03-23",5.00,0.4
"AL","1983-03-23",6.00,1.2
"AL","1983-03-23",7.00,2.0
"AL","1983-05-10",0.00,14.6
"AL","1983-05-10",1.00,12.4
"AL","1983-05-10",2.00,16.8
"AL","1983-05-10",4.00,12.4
"AL","1983-05-10",6.00,7.7
"AL","1983-05-10",7.00,6.9
"AL","1983-05-25",0.00,6.8
"AL","1983-05-25",2.00,7.8
"AL","1983-05-25",4.00,6.0
"AL","1983-05-25",5.00,8.1
"AL","1983-05-25",6.00,6.8
"AL","1983-05-25",7.00,9.0
"AL","1983-06-08",0.00,9.4
"AL","1983-06-08",2.00,5.9
"AL","1983-06-08",4.00,12.1
"AL","1983-06-08",6.00,2.4
"AL","1983-06-08",7.00,0.0
"AL","1983-06-22",0.00,2.4
"AL","1983-06-22",2.00,2.8
"AL","1983-06-22",4.00,10.4
"AL","1983-06-22",6.00,6.0
"AL","1983-06-22",7.00,6.8
"AL","1983-07-05",0.00,4.6
"AL","1983-07-05",2.00,7.8
"AL","1983-07-05",3.00,10.1
"AL","1983-07-05",4.00,9.9
"AL","1983-07-05",5.00,5.1
"AL","1983-07-05",6.00,9.9
"AL","1983-07-05",7.00,29.5
"AL","1983-07-20",0.00,1.1
"AL","1983-07-20",2.00,1.8
"AL","1983-07-20",3.00,6.4
"AL","1983-07-20",4.00,9.0
"AL","1983-07-20",5.00,14.9
"AL","1983-07-20",6.00,32.4
"AL","1983-07-20",7.00,133.7
"AL","1983-08-04",0.00,6.0
"AL","1983-08-04",2.00,5.5
"AL","1983-08-04",3.00,8.4
"AL","1983-08-04",4.00,8.9
"AL","1983-08-04",5.00,26.6
"AL","1983-08-04",6.00,15.4
"AL","1983-08-04",7.00,47.2
"AL","1983-08-15",0.00,4.1
"AL","1983-08-15",2.00,5.9
"AL","1983-08-15",3.00,8.1
"AL","1983-08-15",4.00,16.3
"AL","1983-08-15",5.00,5.9
"AL","1983-08-15",6.00,18.1
"AL","1983-08-15",7.00,46.0
"AL","1983-09-09",0.00,14.6
"AL","1983-09-09",2.00,14.6
"AL","1983-09-09",3.00,11.0
"AL","1983-09-09",4.00,14.2
"AL","1983-09-09",5.00,4.6
"AL","1983-09-09",6.00,11.5
"AL","1983-09-09",7.00,34.2
"AL","1983-09-29",0.00,23.7
"AL","1983-09-29",2.00,18.9
"AL","1983-09-29",3.00,17.4
"AL","1983-09-29",4.00,8.5
"AL","1983-09-29",5.00,6.9
"AL","1983-09-29",6.00,8.4
"AL","1983-09-29",7.00,4.7
"AL","1983-10-18",0.00,8.4
"AL","1983-10-18",2.00,7.3
"AL","1983-10-18",3.00,6.1
"AL","1983-10-18",4.00,12.0
"AL","1983-10-18",5.00,5.2
"AL","1983-10-18",6.00,8.6
"AL","1983-10-18",7.00,13.3
"AL","1983-11-16",0.00,9.3
"AL","1983-11-16",2.00,11.5
"AL","1983-11-16",3.00,19.2
"AL","1983-11-16",4.00,14.1
"AL","1983-11-16",5.00,10.1
"AL","1983-11-16",6.00,8.5
"AL","1983-11-16",7.00,8.9
"AL","1984-01-06",0.00,1.3
"AL","1984-01-06",2.00,0.4
"AL","1984-01-06",4.00,3.4
"AL","1984-01-06",6.00,1.2
"AL","1984-01-06",7.00,1.4
"AL","1984-02-29",0.00,0.5
"AL","1984-02-29",2.00,0.9
"AL","1984-02-29",4.00,1.3
"AL","1984-02-29",6.00,0.4
"AL","1984-02-29",7.00,0.5
"AL","1984-04-03",0.00,0.7
"AL","1984-04-03",2.00,2.1
"AL","1984-04-03",4.00,3.3
"AL","1984-04-03",5.00,1.1
"AL","1984-04-03",6.00,0.9
"AL","1984-04-03",7.00,0.4
"AL","1984-04-03",2.00,2.4
"AL","1984-05-09",0.00,19.1
"AL","1984-05-09",2.00,12.3
"AL","1984-05-09",3.00,14.5
"AL","1984-05-09",4.00,13.1
"AL","1984-05-09",5.00,14.5
"AL","1984-05-09",6.00,14.9
"AL","1984-05-09",7.00,13.3
"AL","1984-05-09",3.00,16.4
"AL","1984-05-23",0.00,4.4
"AL","1984-05-23",2.00,4.4
"AL","1984-05-23",4.00,4.8
"AL","1984-05-23",6.00,8.6
"AL","1984-05-23",7.00,3.5
"AL","1984-05-23",2.00,3.4
"AL","1984-06-05",0.00,7.1
"AL","1984-06-05",2.00,9.1
"AL","1984-06-05",4.00,14.1
"AL","1984-06-05",5.00,10.3
"AL","1984-06-05",6.00,18.4
"AL","1984-06-05",7.00,30.0
"AL","1984-06-05",7.00,23.9
"AL","1984-06-21",0.00,5.1
"AL","1984-06-21",2.00,6.4
"AL","1984-06-21",4.00,13.1
"AL","1984-06-21",5.00,8.2
"AL","1984-06-21",6.00,8.6
"AL","1984-06-21",7.00,25.8
"AL","1984-06-21",7.00,73.9
"AL","1984-07-03",0.00,5.1
"AL","1984-07-03",2.00,5.1
"AL","1984-07-03",3.00,5.1
"AL","1984-07-03",4.00,17.5
"AL","1984-07-03",5.00,9.5
"AL","1984-07-03",6.00,7.7
"AL","1984-07-03",7.00,47.3
"AL","1984-07-03",6.00,9.5
"AL","1984-07-18",0.00,5.0
"AL","1984-07-18",2.00,6.4
"AL","1984-07-18",3.00,8.2
"AL","1984-07-18",4.00,8.0
"AL","1984-07-18",5.00,6.9
"AL","1984-07-18",6.00,7.6
"AL","1984-07-18",3.00,7.4
"AL","1984-08-02",0.00,5.1
"AL","1984-08-02",2.00,6.0
"AL","1984-08-02",3.00,5.8
"AL","1984-08-02",4.00,7.8
"AL","1984-08-02",5.00,13.1
"AL","1984-08-02",6.00,8.2
"AL","1984-08-02",7.00,2.0
"AL","1984-08-02",5.00,19.4
"AL","1984-08-14",0.00,6.0
"AL","1984-08-14",2.00,7.2
"AL","1984-08-14",3.00,6.4
"AL","1984-08-14",4.00,9.9
"AL","1984-08-14",5.00,6.9
"AL","1984-08-14",6.00,32.5
"AL","1984-08-14",7.00,329.8
"AL","1984-08-14",7.00,275.9
"AL","1984-09-06",0.00,11.4
"AL","1984-09-06",2.00,11.6
"AL","1984-09-06",3.00,12.4
"AL","1984-09-06",4.00,12.7
"AL","1984-09-06",5.00,5.0
"AL","1984-09-06",6.00,2.9
"AL","1984-09-06",7.00,38.0
"AL","1984-09-06",0.00,11.9
"AL","1984-09-24",0.00,24.1
"AL","1984-09-24",2.00,20.5
"AL","1984-09-24",3.00,12.9
"AL","1984-09-24",4.00,18.8
"AL","1984-09-24",5.00,17.4
"AL","1984-09-24",6.00,14.9
"AL","1984-09-24",7.00,7.7
"AL","1984-09-24",4.00,18.3
"AL","1984-10-15",0.00,10.3
"AL","1984-10-15",2.00,6.0
"AL","1984-10-15",3.00,11.7
"AL","1984-10-15",4.00,10.3
"AL","1984-10-15",5.00,3.0
"AL","1984-10-15",6.00,2.4
"AL","1984-10-15",7.00,1.7
"AL","1984-10-15",6.00,2.4
"AL","1984-11-08",0.00,17.6
"AL","1984-11-08",2.00,14.1
"AL","1984-11-08",4.00,11.4
"AL","1984-11-08",6.00,16.1
"AL","1984-11-08",7.00,16.8
"AL","1984-11-08",4.00,8.5
"AL","1984-11-08",6.00,32.1
"AL","1985-01-07",0.00,3.9
"AL","1985-01-07",2.00,1.4
"AL","1985-01-07",4.00,0.4
"AL","1985-01-07",6.00,0.4
"AL","1985-01-07",7.00,0.4
"AL","1985-01-07",4.00,0.3
"AL","1985-02-25",0.00,0.5
"AL","1985-02-25",2.00,0.4
"AL","1985-02-25",4.00,0.3
"AL","1985-02-25",6.00,0.3
"AL","1985-02-25",7.00,0.4
"AL","1985-02-25",4.00,1.4
"AL","1985-03-27",0.00,0.4
"AL","1985-03-27",2.00,1.1
"AL","1985-03-27",4.00,0.5
"AL","1985-03-27",6.00,0.3
"AL","1985-03-27",7.00,1.3
"AL","1985-03-27",2.00,0.8
"AL","1985-04-30",0.00,10.2
"AL","1985-04-30",2.00,10.3
"AL","1985-04-30",4.00,7.6
"AL","1985-04-30",6.00,3.7
"AL","1985-04-30",7.00,3.0
"AL","1985-04-30",7.00,2.5
"AL","1985-05-16",0.00,3.9
"AL","1985-05-16",2.00,3.7
"AL","1985-05-16",4.00,3.0
"AL","1985-05-16",6.00,1.4
"AL","1985-05-16",7.00,3.3
"AL","1985-05-16",7.00,3.4
"AL","1985-05-28",0.00,8.0
"AL","1985-05-28",2.00,4.3
"AL","1985-05-28",4.00,3.7
"AL","1985-05-28",6.00,1.3
"AL","1985-05-28",7.00,26.4
"AL","1985-05-28",2.00,8.7
"AL","1985-06-11",0.00,12.9
"AL","1985-06-11",1.00,9.9
"AL","1985-06-11",2.00,12.4
"AL","1985-06-11",4.00,8.2
"AL","1985-06-11",6.00,2.6
"AL","1985-06-11",7.00,39.1
"AL","1985-06-11",2.00,17.9
"AL","1985-06-24",0.00,7.1
"AL","1985-06-24",2.00,8.0
"AL","1985-06-24",4.00,7.4
"AL","1985-06-24",6.00,6.1
"AL","1985-06-24",7.00,2.1
"AL","1985-06-24",0.00,6.0
"AL","1985-07-11",0.00,4.7
"AL","1985-07-11",2.00,7.3
"AL","1985-07-11",3.00,5.5
"AL","1985-07-11",4.00,11.1
"AL","1985-07-11",6.00,2.4
"AL","1985-07-11",7.00,13.3
"AL","1985-07-11",4.00,13.3
"AL","1985-07-23",0.00,6.1
"AL","1985-07-23",2.00,8.4
"AL","1985-07-23",4.00,6.1
"AL","1985-07-23",6.00,24.7
"AL","1985-07-23",7.00,55.8
"AL","1985-07-23",7.00,54.4
"AL","1985-08-07",0.00,6.4
